,Price,Close,High,Low,Open,Volume,MA_5,MA_20,MA_60,RSI,Volatility,Volume_MA,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,Stoch_K,Stoch_D,Williams_R,Price_Change,Price_Change_5,Price_Change_20,Volume_Change,HL_Spread,CO_Spread
Price,1.0,1.0,0.9995947462732981,0.9996802748952303,0.9991701649211824,0.021630303583532583,0.9987126136576407,0.9948016197284105,0.9864646367486269,0.21363964856999437,0.49288429465024514,0.03754921108375733,0.49176339752013926,0.5146210275642926,0.03172821167908354,0.9949799927330423,0.9948016197284105,0.9893722427365106,0.0699839427224264,0.21144086883165333,0.15903384938147558,0.1664766586170074,0.15903384938147563,0.07459975761558615,0.14912812124614086,0.2593698556920929,-0.03171597214118113,0.11025405022075896,0.05287249290382811
Close,1.0,1.0,0.9995947462732981,0.9996802748952303,0.9991701649211824,0.021630303583532583,0.9987126136576407,0.9948016197284105,0.9864646367486269,0.21363964856999437,0.49288429465024514,0.03754921108375733,0.49176339752013926,0.5146210275642926,0.03172821167908354,0.9949799927330423,0.9948016197284105,0.9893722427365106,0.0699839427224264,0.21144086883165333,0.15903384938147558,0.1664766586170074,0.15903384938147563,0.07459975761558615,0.14912812124614086,0.2593698556920929,-0.03171597214118113,0.11025405022075896,0.05287249290382811
High,0.9995947462732981,0.9995947462732981,1.0,0.9994157054043891,0.9996185594396371,0.01915772422532766,0.9989297537095571,0.9948168983227089,0.9859975191938912,0.21044189273397498,0.4979478137437577,0.04139808094810507,0.4951739954151631,0.5188793967998169,0.029884680201188604,0.9953863410313675,0.9948168983227089,0.9889663026952117,0.07511978877966134,0.20512968307607263,0.1514288915669766,0.16456319257744828,0.1514288915669767,0.057158462392213456,0.14331979874956924,0.25900670969816114,-0.03258823240647787,0.12950829920573825,0.03244770410699019
Low,0.9996802748952303,0.9996802748952303,0.9994157054043891,1.0,0.9995349855265863,0.02297135889471877,0.9989459846814955,0.99517984888214,0.9869921707053858,0.21034982068298233,0.48970640571690455,0.033846849827565854,0.4897662468715361,0.5134904945537934,0.028726792325719768,0.9950979919336231,0.99517984888214,0.9900287191091068,0.06650479421438438,0.20559500811464151,0.152579291554012,0.1643928770756143,0.15257929155401212,0.060089180595772,0.14323891152819965,0.2554812299597777,-0.030784762857628687,0.09644784593489304,0.0364618007436708
Open,0.9991701649211824,0.9991701649211824,0.9996185594396371,0.9995349855265863,1.0,0.02044000746595556,0.9991711880017552,0.9952454511047709,0.9865897343289434,0.20623585011812984,0.49413222763300796,0.037796815538994256,0.4928776687325628,0.5177237374067449,0.026001825037335443,0.9955034198158796,0.9952454511047709,0.9897280218465,0.07079152521735085,0.19796881027404636,0.14450918325660095,0.1623518947099085,0.1445091832566009,0.04004972617092391,0.13572269699854636,0.2547233853921304,-0.03165126960547367,0.11565118555582632,0.013358264476274874
Volume,0.021630303583532583,0.021630303583532583,0.01915772422532766,0.02297135889471877,0.02044000746595556,1.0,0.023134840955907048,0.021061164886517745,0.02180988364552131,0.011803576524522557,0.061828243361373596,0.16617376266686976,0.017041333585588143,0.012584538255533451,0.016814569930292126,0.02504010275307849,0.021061164886517745,0.016665415373383317,0.05652601280602927,-0.022664516141639682,-0.030903963868447886,-0.016375639647674682,-0.030903963868447893,-0.005588394320916611,-0.02168743085758044,0.01692040573785962,0.38914027557693076,-0.11675298449317206,0.022452084365648554
MA_5,0.9987126136576407,0.9987126136576407,0.9989297537095571,0.9989459846814955,0.9991711880017552,0.023134840955907048,1.0,0.9969170334560401,0.9884972013147462,0.1928192349427246,0.4910986282960414,0.03786446834162014,0.48541932514329617,0.5158641660652264,0.007720085028246782,0.9968765997324951,0.9969170334560401,0.9917121498359145,0.06700389806815689,0.17859956796591542,0.1260449023530822,0.1442596997895693,0.1260449023530823,0.03888525800953461,0.11056336640807334,0.24294297701202314,-0.030907076660986098,0.11274847116011395,0.022459515769030932
MA_20,0.9948016197284105,0.9948016197284105,0.9948168983227089,0.99517984888214,0.9952454511047709,0.021061164886517745,0.9969170334560401,1.0,0.9940467488996534,0.12785243388499837,0.46271215636119795,0.03497444964255183,0.42820154628702667,0.4762403541328419,-0.05661013278067543,0.9976463377296373,1.0,0.997269973253711,0.03600891976662252,0.12290725118610668,0.07522658665628146,0.08312149299190667,0.07522658665628158,0.035854735738914026,0.07301096539860018,0.18122308535715165,-0.02895954928030604,0.10292399396102407,0.022066230481401793
MA_60,0.9864646367486269,0.9864646367486269,0.9859975191938912,0.9869921707053858,0.9865897343289434,0.02180988364552131,0.9884972013147462,0.9940467488996534,1.0,0.10315125428128626,0.42667147685463896,0.031049138802384333,0.3516544392810359,0.38688702409296644,-0.03385985509216173,0.9891324940092185,0.9940467488996534,0.9941055349696962,0.0028971405872049646,0.10502509699702348,0.06640034741415714,0.06967780771917668,0.06640034741415715,0.03689260993963566,0.06967458832243963,0.13003984735075996,-0.025555731534618688,0.08525888924310725,0.028317367188223645
RSI,0.21363964856999437,0.21363964856999437,0.21044189273397498,0.21034982068298233,0.20623585011812984,0.011803576524522557,0.1928192349427246,0.12785243388499837,0.10315125428128626,1.0,0.2720910436999805,-0.022167226045455055,0.681332168434422,0.4833671299631149,0.7314784866308213,0.144021364885229,0.12785243388499837,0.10976720990440066,0.2402022832385066,0.8447364961819595,0.80087194191128,0.8500677009181347,0.80087194191128,0.2568382689681133,0.5596945787742714,0.7603548978873547,-0.04229997237899297,0.029254626513865446,0.2004240485304178
Volatility,0.49288429465024514,0.49288429465024514,0.4979478137437577,0.48970640571690455,0.49413222763300796,0.061828243361373596,0.4910986282960414,0.46271215636119795,0.42667147685463896,0.2720910436999805,1.0,0.0642281458709532,0.5850799992845865,0.5670227186094537,0.17323354029114243,0.5224105930591333,0.4627121563611978,0.39598761653604103,0.8766881164600522,0.17285508102535993,0.14052452270893345,0.17480020331673854,0.14052452270893348,0.0319851222989956,0.1502620315572282,0.41257940433326457,-0.016011915069146943,0.2727918209456652,-0.005332905360954091
Volume_MA,0.03754921108375733,0.03754921108375733,0.04139808094810507,0.033846849827565854,0.037796815538994256,0.16617376266686976,0.03786446834162014,0.03497444964255183,0.031049138802384333,-0.022167226045455055,0.0642281458709532,1.0,0.05700925964102344,0.05657803376823876,0.012902856220717724,0.038608313955574944,0.03497444964255183,0.03087705696295839,0.048148082974556465,-0.051199101585463154,-0.03489663141733386,-0.03485656508136337,-0.034896631417333866,0.005686985460349346,-0.01508822035399509,0.043591943810294805,0.05142498351291282,0.22822315925283038,-0.008779748405041511
