,Close,High,Low,MA_5,MA_20,RSI,MACD,Volatility,BB_Upper,BB_Lower,BB_Width,BB_Position,Stoch_K,Stoch_D,Price_Change,Price_Change_5,Volume,Volume_Change,HL_Spread,CO_Spread
Close,1.0,0.999594746273298,0.9996802748952304,0.9987126136576407,0.9948016197284104,0.2136396485699943,0.4917633975201392,0.4928842946502451,0.9949799927330424,0.9893722427365106,0.0699839427224264,0.2114408688316533,0.1590338493814755,0.1664766586170074,0.0745997576155861,0.1491281212461408,0.0216303035835325,-0.0317159721411811,0.1102540502207589,0.0528724929038281
High,0.999594746273298,1.0,0.9994157054043892,0.9989297537095572,0.9948168983227088,0.2104418927339749,0.4951739954151631,0.4979478137437577,0.9953863410313676,0.9889663026952116,0.0751197887796613,0.2051296830760726,0.1514288915669766,0.1645631925774482,0.0571584623922134,0.1433197987495692,0.0191577242253276,-0.0325882324064778,0.1295082992057382,0.0324477041069901
Low,0.9996802748952304,0.9994157054043892,1.0,0.9989459846814956,0.99517984888214,0.2103498206829823,0.4897662468715361,0.4897064057169045,0.9950979919336232,0.9900287191091068,0.0665047942143843,0.2055950081146415,0.152579291554012,0.1643928770756143,0.060089180595772,0.1432389115281996,0.0229713588947187,-0.0307847628576286,0.096447845934893,0.0364618007436708
MA_5,0.9987126136576407,0.9989297537095572,0.9989459846814956,1.0,0.99691703345604,0.1928192349427246,0.4854193251432961,0.4910986282960414,0.9968765997324952,0.9917121498359144,0.0670038980681568,0.1785995679659154,0.1260449023530822,0.1442596997895693,0.0388852580095346,0.1105633664080733,0.023134840955907,-0.030907076660986,0.1127484711601139,0.0224595157690309
MA_20,0.9948016197284104,0.9948168983227088,0.99517984888214,0.99691703345604,1.0,0.1278524338849983,0.4282015462870266,0.4627121563611979,0.9976463377296372,0.997269973253711,0.0360089197666225,0.1229072511861066,0.0752265866562814,0.0831214929919066,0.035854735738914,0.0730109653986001,0.0210611648865177,-0.028959549280306,0.102923993961024,0.0220662304814017
RSI,0.2136396485699943,0.2104418927339749,0.2103498206829823,0.1928192349427246,0.1278524338849983,1.0,0.681332168434422,0.2720910436999805,0.144021364885229,0.1097672099044006,0.2402022832385066,0.8447364961819595,0.80087194191128,0.8500677009181347,0.2568382689681133,0.5596945787742714,0.0118035765245225,-0.0422999723789929,0.0292546265138654,0.2004240485304178
MACD,0.4917633975201392,0.4951739954151631,0.4897662468715361,0.4854193251432961,0.4282015462870266,0.681332168434422,1.0,0.5850799992845865,0.457123153651773,0.3948018854755002,0.40844828981062,0.5672195420333832,0.4601448292881293,0.5574471983719429,0.0525537482781039,0.3156980525079751,0.0170413335855881,-0.0468472145238856,0.1982560148421871,-0.0016170165973669
Volatility,0.4928842946502451,0.4979478137437577,0.4897064057169045,0.4910986282960414,0.4627121563611979,0.2720910436999805,0.5850799992845865,1.0,0.5224105930591333,0.395987616536041,0.8766881164600522,0.1728550810253599,0.1405245227089334,0.1748002033167385,0.0319851222989956,0.1502620315572282,0.0618282433613735,-0.0160119150691469,0.2727918209456652,-0.005332905360954
BB_Upper,0.9949799927330424,0.9953863410313676,0.9950979919336232,0.9968765997324952,0.9976463377296372,0.144021364885229,0.457123153651773,0.5224105930591333,1.0,0.9898594417691688,0.1024453845786541,0.1315891169704784,0.083226458100161,0.0934713766631054,0.036961093271379,0.0818485240165333,0.0250401027530784,-0.0290931554525448,0.1200979857487234,0.0208120589846025
BB_Lower,0.9893722427365106,0.9889663026952116,0.9900287191091068,0.9917121498359144,0.997269973253711,0.1097672099044006,0.3948018854755002,0.395987616536041,0.9898594417691688,1.0,-0.0357252742642153,0.1129107911963092,0.0662155804042275,0.0715382232337731,0.0344745499090304,0.0631095285220039,0.0166654153733833,-0.0286608112588494,0.0838876719500638,0.0233006613500806
BB_Width,0.0699839427224264,0.0751197887796613,0.0665047942143843,0.0670038980681568,0.0360089197666225,0.2402022832385066,0.40844828981062,0.8766881164600522,0.1024453845786541,-0.0357252742642153,1.0,0.1315088010963034,0.1224866389850202,0.1542034372566866,0.0210591986996413,0.1392053159779812,0.0565260128060292,-0.0039842659047054,0.253196039558626,-0.0089744543385428
BB_Position,0.2114408688316533,0.2051296830760726,0.2055950081146415,0.1785995679659154,0.1229072511861066,0.8447364961819595,0.5672195420333832,0.1728550810253599,0.1315891169704784,0.1129107911963092,0.1315088010963034,1.0,0.9191137545070478,0.878844651235286,0.4370677733415239,0.7575460340867296,-0.0226645161416396,-0.0384552260979958,0.0053307225379482,0.3559100465369634
Stoch_K,0.1590338493814755,0.1514288915669766,0.152579291554012,0.1260449023530822,0.0752265866562814,0.80087194191128,0.4601448292881293,0.1405245227089334,0.083226458100161,0.0662155804042275,0.1224866389850202,0.9191137545070478,1.0,0.9132553784509628,0.4485985406759365,0.7444726596690197,-0.0309039638684478,-0.0501442482361222,-0.0133928275412516,0.3799552192510454
Stoch_D,0.1664766586170074,0.1645631925774482,0.1643928770756143,0.1442596997895693,0.0831214929919066,0.8500677009181347,0.5574471983719429,0.1748002033167385,0.0934713766631054,0.0715382232337731,0.1542034372566866,0.878844651235286,0.9132553784509628,1.0,0.1519746193001518,0.6719733081283944,-0.0163756396476746,-0.05393670670795,0.0297821627475095,0.1155324803505933
Price_Change,0.0745997576155861,0.0571584623922134,0.060089180595772,0.0388852580095346,0.035854735738914,0.2568382689681133,0.0525537482781039,0.0319851222989956,0.036961093271379,0.0344745499090304,0.0210591986996413,0.4370677733415239,0.4485985406759365,0.1519746193001518,1.0,0.4247934172698713,-0.0055883943209166,-0.0096794869440921,-0.086545235521866,0.8696877509135778
Price_Change_5,0.1491281212461408,0.1433197987495692,0.1432389115281996,0.1105633664080733,0.0730109653986001,0.5596945787742714,0.3156980525079751,0.1502620315572282,0.0818485240165333,0.0631095285220039,0.1392053159779812,0.7575460340867296,0.7444726596690197,0.6719733081283944,0.4247934172698713,1.0,-0.0216874308575804,-0.0034832398744921,0.016541769056314,0.3447863274756952
Volume,0.0216303035835325,0.0191577242253276,0.0229713588947187,0.023134840955907,0.0210611648865177,0.0118035765245225,0.0170413335855881,0.0618282433613735,0.0250401027530784,0.0166654153733833,0.0565260128060292,-0.0226645161416396,-0.0309039638684478,-0.0163756396476746,-0.0055883943209166,-0.0216874308575804,1.0,0.3891402755769307,-0.116752984493172,0.0224520843656485
Volume_Change,-0.0317159721411811,-0.0325882324064778,-0.0307847628576286,-0.030907076660986,-0.028959549280306,-0.0422999723789929,-0.0468472145238856,-0.0160119150691469,-0.0290931554525448,-0.0286608112588494,-0.0039842659047054,-0.0384552260979958,-0.0501442482361222,-0.05393670670795,-0.0096794869440921,-0.0034832398744921,0.3891402755769307,1.0,-0.0672871940482009,-0.0031263102934617
HL_Spread,0.1102540502207589,0.1295082992057382,0.096447845934893,0.1127484711601139,0.102923993961024,0.0292546265138654,0.1982560148421871,0.2727918209456652,0.1200979857487234,0.0838876719500638,0.253196039558626,0.0053307225379482,-0.0133928275412516,0.0297821627475095,-0.086545235521866,0.016541769056314,-0.116752984493172,-0.0672871940482009,1.0,-0.1275761118382271
CO_Spread,0.0528724929038281,0.0324477041069901,0.0364618007436708,0.0224595157690309,0.0220662304814017,0.2004240485304178,-0.0016170165973669,-0.005332905360954,0.0208120589846025,0.0233006613500806,-0.0089744543385428,0.3559100465369634,0.3799552192510454,0.1155324803505933,0.8696877509135778,0.3447863274756952,0.0224520843656485,-0.0031263102934617,-0.1275761118382271,1.0
